From,Operations - Avg Check,Operations - Cover,Operations - Event Number,Operations Event Executed Money,To,Culinary - Tasing Closings 2 Previous Month And Current,Staffing - Staffing Profit,Sales - Signed Contracts Number,Sales - Signed Contracts Money,Sales - New Money in the Month,Sales - Current Month Sales Money,Sales - Current Month Sales Money Tentative,Sales - Next Month Sales Money,Sales - Next Month Sales Money Tentative,Sales - Two Month Sales Money,Sales - Two Month Sales Money Tenative
2017-04-19,93.68779046868843,2539.0,19,237873.3,2017-04-25,84.02105263157895,100.0,0.0,0.0,320741.1300000001,320741.1300000001,116263.71,0.0,113317.26,0.0,0.0
2017-04-26,80.62615781126087,2522.0,21,203339.16999999995,2017-05-02,83.95789473684209,100.0,0.0,0.0,320741.1300000001,320741.1300000001,116263.71,0.0,113317.26,0.0,0.0
2017-01-07,55.78388073394496,1090.0,13,60804.43,2017-01-13,83.95789473684209,40.26255398605984,231.0,1655310.8900000004,589211.57,589211.57,0.0,392456.96,0.0,595912.9000000001,0.0
