,Event Date,CIS #,AE,Definite,Entered By,Entered Date,Customer,Adult Guests, Event Menu, Specialty Menu Items, Sweet Treats, Wedding Cake, Coffee + Tea Service, Soft Beverages, Specialty Soft Beverages, Alcoholic Beverages, Wine Service with Dinner, Champagne Toast, Event Personnel, Equipment - TBD, In House Equipment, In House Linens, In House Tables & Chairs, Equipment Rentals, Equipment Rentals - TBD, Venue to Provide, Florals, Florals - Outside, Decor, Tenting, Lighting, Valet, Credit Card Processing Fee, Service Charge, Venue Fee, Gratuity, Delivery, Suggestions & Options, Our Gift to You!, Total Discount,State, Subtotal,Sales Tax
27,2016-04-08,13725,cb,4/5/2016,,4/5/2016,Bennett,4.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA, 1423.5,  127.35
28,2016-04-08,13725,cb,04/05/16,,04/05/2016,Bennett,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA, 30, 3
29,2016-05-13,13993,cb,05/02/16,,05/02/2016,Bennett,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2105.0,VA, 100, 10
30,2016-05-21,13708,cb,04/04/16,Bennett,04/04/2016,Lee Fendall House,100,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2105,VA,100.0,10.0
31,2016-07-01,14580,cb,06/20/16,Bennett,06/20/2016,Bennett,12,100,,,,,320.0,,2000.0,,,2024.0,,1085.6,75.0,30.0,,,,700.0,,,,,,,,,,150.0,,,,VA, 100, 10
32,2016-09-15,15509,cb,09/14/16,,09/14/2016,Embassy of the Gabonese Republic,80,2560,,,,,320,,2000,,,2024,,1085.6,75,30,,,,700,,,,,,,,,,150,,,205.0,DC, 8944.6,44.0
33,2016-09-16,15486,cb,09/13/16,,09/13/2016,American Horticultural Society at River Farm,20,440,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,75,,, 205,VA, 515, 44
34,2016-09-16,15493,cb,09/13/16,,09/13/2016,Bennett,10,142,,10,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,,, 15,VA, 152, 15.2
35,2016-09-17,15491,cb,09/13/16,,09/13/2016,American Horticultural Society at River Farm,20,395.5,,,,,,,360.0,,,1158.0,,303.0,123.0,67.5,,,,,,,,,,,,,,150,,, 80,VA, 545.5, 39.55
36,2016-09-22,15557,cb,09/19/16,,09/19/2016,US Department of Education,40,669,,,,,,,360,,,1158,,303,123,67.5,568.1,,,,,,,,,,,,,150,,, 204.5,DC, 2830.5,
37,2016-10-08,15858,cb,10/13/16,,10/13/2016,Washington Convention and Sports Authority - Events DC,1,1870.0,,,,,,,,,,189,,,,,568.1,,,,,,,,,,,,,150.0,,,904.0,DC, 757.1,332.2
38,2016-10-13,15600,cb,09/26/16,,09/22/2016,White,90,1870,,,,,,,,,,1302,,,,,,,,,,,,,,,,,,150,,, 904,DC, 3322, 332.2
39,2016-10-13,15822,cb,10/11/16,,10/11/2016,Torpedo Factory Art Center - City of Alexandria,1,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 128,VA,32.0,3.2
40,2016-10-21,15930,cb,10/19/16,,10/19/2016,Edgerly Campbell,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MD, 32, 3.2
41,2016-11-04,15902,cb,10/18/16,,10/18/2016,Bennett,6,40.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA, 40.95, 4.1
42,2016-11-11,16262,cb,11/08/16,Bennett,11/08/2016,Bennett,6,67.2,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA, 67.2, 6.72
