,Event Date,CIS #,AE,Definite,Entered By,Entered Date,Customer,Adult Guests, Event Menu, Specialty Menu Items, Sweet Treats, Wedding Cake, Coffee + Tea Service, Soft Beverages, Specialty Soft Beverages, Alcoholic Beverages, Wine Service with Dinner, Champagne Toast, Event Personnel, Equipment - TBD, In House Equipment, In House Linens, In House Tables & Chairs, Equipment Rentals, Equipment Rentals - TBD, Venue to Provide, Florals, Florals - Outside, Decor, Tenting, Lighting, Valet, Credit Card Processing Fee, Service Charge, Venue Fee, Gratuity, Delivery, Suggestions & Options, Our Gift to You!, Total Discount,State, Subtotal,Sales Tax
457,2017-02-11,17380,Elyse,02/03/17,McFadden,02/02/2017,Iwanski,150,2175,,360,,60.0,100,,,,,427.5,,442.5,150.0,60.0,,,,,,,,,,,,,,150,,,130.0,DC, 3655, 365.5
458,2017-02-17,17433,Elyse,02/10/17,Gordon,02/08/2017,Alexander,54,1536,,600.0,,60,450.0,,,,,993,,788.45,150,60,,,,,,,,,,,,,,150,,, 130,VA, 3737.45, 279.09
459,2017-02-24,17650,Elyse,02/22/17,McFadden,02/21/2017,Rosenbaum,150,2625,,600,,200.0,450,,665.0,,,495,,1017,125,180.0,365.5,,,,,,,,,,,,,150,,, 678,DC, 5462, 546.2
460,2017-02-27,17106 A,Elyse,02/17/17,Thaler,01/13/2017,Thurgood Marshall College Fund,50,4256.25,,380,,200,543.75,,665,,,2850.5,,2130.5,541,180,365.5,,,,,,,,,,,,,150,,,,DC, 12262.5,84.96
461,2017-03-03,17754,Elyse,03/01/17,McFadden,02/28/2017,Crowne Plaza Dulles Airport,100,958.75,,100.0,,50.0,75.0,,,,,1416,,226.31,,22.83,,,,,,,,,,60.74,,,150.0,100.0,,,200.44,VA, 1416, 84.96
462,2017-03-04,17372,Elyse,02/17/17,McFadden,02/02/2017,Wolters Klumer,25,958.75,,100,,50,75,,,,,800.5,,226.31,,22.83,,,,,,,,,,60.74,,,150,100,,, 200.44,VA, 2544.13, 181.36
463,2017-03-07,17871,Elyse,03/07/17,McFadden,03/07/2017,Crowne Plaza Dulles Airport,100,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,,,,VA, 630, 37.8
464,2017-03-08,17871 B,Elyse,03/07/17,McFadden,03/07/2017,Crowne Plaza Dulles Airport,100,,,,,,,,,,,227.5,,,,,,,,,,,,,,,,,,,,,,VA, 227.5, 13.65
465,2017-03-09,17871  C,Elyse,03/07/17,McFadden,03/07/2017,Crowne Plaza Dulles Airport,100,,,,,,,,,,,227.5,,1279.0,701.0,,165.0,,,,,,,,,44.63,,,,,,,919.0,VA, 227.5, 13.65
466,2017-03-13,17835 A,Elyse,03/06/17,McFadden,03/03/2017,Mexican Cultural Institute,110,,,,,,,,,,,393.75,,1279,701,,165,,,,,,,,,44.63,,,,,,, 919,DC, 2189.63,23.63
467,2017-03-18,18047,Elyse,03/16/17,McFadden,03/16/2017,Crowne Plaza Dulles Airport,100,15300.0,,2100.0,,200.0,,,,,,393.75,,,,,380.0,,,,,,,,,,,,,150.0,,,7635.0,VA, 393.75, 23.63
468,2017-03-18,17607,Elyse,03/01/17,McFadden,02/20/2017,Field School,300,15300,,2100,,200,,,,,,6084,,396.25,124.0,30.0,380,,,,,,,,,,,,,150,,, 7635,DC, 24214,269.16
469,2017-03-25,17301,Elyse,02/21/17,McFadden,01/27/2017,Croft,25,706.25,,125,,50,,,,,,1110,,396.25,124,30,,,,,,,,,,37.57,,,,150,,,,DC, 2691.5, 269.16
470,2017-03-27,18187 A,Elyse,03/24/17,McFadden,03/24/2017,Bloomberg BNA,20,882.85,,,,,,,,,,,,360,,,,,,,,,,,,37.57,,,,150,,,,VA, 1430.42, 109.88
471,2017-03-28,18188 A,Elyse,03/24/17,McFadden,03/24/2017,Bloomberg BNA,20,877,,166.0,,,,,,,,740.0,,360,,95.0,,,,,,,,,,37.41,,,,150,,,50.0,VA, 1424.41, 109.3
472,2017-03-28,18196,Elyse,03/27/17,Keene,03/24/2017,The Walker Marchant Group,17,601.75,,166,,,,,,,,740,,367,,95,,,,,,,,,,52.55,,,,150,,, 50,DC, 2172.3, 211.98
473,2017-03-29,18212 A,Elyse,03/27/17,McFadden,03/27/2017,Bloomberg BNA,18,777.5,,,,,,,,,,,,360,,,,,,,,,,,,34.67,,,,150,,,,VA, 1322.17, 99.35
474,2017-03-30,18213,Elyse,03/27/17,McFadden,03/27/2017,Bloomberg BNA,15,206.25,,342.0,,102.0,280.0,,912.0,,,2725.0,,180,318.0,,,,,,,,,,,14.19,,,,150,,,325.61,VA, 550.44, 31.43
475,2017-04-07,17801,Elyse,03/15/17,Gordon,03/02/2017,Cadden,56,2032,,342,65.0,102,280,,912,,,2725,,1126.95,318,100.0,1552.2,,,,,,,,,215.12,,,,150,,, 325.61,VA, 8203.07, 617
476,2017-04-08,14840,Elyse,10/18/16,McFadden,07/15/2016,Sehler,137,4147.5,137.0,480,65,80.0,548,,,,,3526,,1767.3,240,100,1552.2,,,,,,,,,,,,,150,,, 162.5,VA, 12576, 955.18
477,2017-04-09,15090,Elyse,10/18/16,McFadden,08/09/2016,Ungchusri,145,4081.75,137,60.0,565,80,117,,,,,4474,,2172.69,500,2.0,,,,,,,,,,,,,,150,,,112.0,VA, 12277.44, 926.88
478,2017-04-11,18411,Elyse,04/10/17,McFadden,04/06/2017,Thurgood Marshall College Fund,10,292.5,,60,,40.0,80.0,,280.0,,,236.25,,228,186.0,2,,,,190.0,,,,,,,,,,150,,, 112,DC, 968.75,275.84
479,2017-04-11,18107,Elyse,03/29/17,McFadden,03/21/2017,University of Edinburgh,20,680,,120,,40,80,,280,,,591,,441.4,186,,,,,190,,,,,,137.08,,,,150,,,86.0,DC, 2758.4, 275.84
480,2017-04-14,17960,Elyse,03/17/17,Gordon,03/10/2017,Ricondo and Associates,43,1509,,258,,,,,,,,2159,,1038.6,,,,,,,,,,,,137.08,,,,150,,, 86,VA, 5251.68, 368.56
481,2017-04-15,18352,Elyse,04/06/17,McFadden,04/03/2017,Hawthorne,12,399,,,,,285.0,,,,,475.0,,621.5,,,,,,,,,,,,,,,,,,,841.5,VA, 399, 39.9
482,2017-04-16,17999,Elyse,04/10/17,McFadden,03/14/2017,Washington National Cathedral,110,1265,,50.0,,,285,,350.0,,,475,,621.5,75.0,,,,,190.0,,,,,,,,,,150.0,,, 841.5,DC, 2646.5,247.63
483,2017-04-17,18108,Elyse,03/29/17,McFadden,03/21/2017,University of Edinburgh,25,675,,50,65.0,247.5,75,,350,,,535,,376.25,75,,,,,190,,,,,,,,,,150,,,,DC, 2476.25, 247.63
484,2017-04-23,14176,Elyse,10/07/16,Gordon,05/17/2016,Black,100,2964,,396,65,247.5,396,,,,,3290,,1807,625,,,,,,,,,,,,,,,150,,,642.5,DC, 9940.5, 994.05
485,2017-04-29,14040,Elyse,06/16/16,Gordon,05/04/2016,Mychkovsky,100,3612,,240.0,600,625.0,100,,,,,3262,,1392.75,534.75,,4875.0,,,62.5,,,,,,,,,,150,,, 642.5,VA, 9651.5, 742.58
486,2017-05-12,17946,Elyse,03/16/17,McFadden,03/09/2017,Georgetown Day School,500,6960,,240,,625,300,,,,,5237.5,,2309,,,4875,,,62.5,,,,,,,,,,150,,, 9463.5,DC, 20759,94963.26
487,2016-01-17,9902,Liz,7/8/2015,Cheung,4/17/2015,Heyneman,74.0,3240.0,56.0,,,,304.0,,2409.0,,,3230.0,,705.66,250.0,,,,,,,,,,,,,,,150.0,,, 130332.84,DC, 1410660.23,  94963.26
488,2016-01-17,9902,Liz,07/08/15,Cheung,04/17/2015,Heyneman,74,3240,56,400.0,,,304,,2409,,,3230,,705.66,250,,,,,,,,,,,,,,,150,,, 1470.66,DC, 10344.66, 1034.47
489,2016-02-18,12892,Liz,02/01/16,Cheung,01/22/2016,Meridian Institute,50,1625,531.0,400,684.0,,150,,700,,,1307,,812.5,624.0,,,,,,,,,,,,,,,150,,, 240,DC, 5144.5, 514.45
490,2016-03-12,9444,Liz,04/02/15,Cheung,03/13/2015,Hahn,90,3585.94,531,665,684,,380,,4276.0,,,4767,,1908.95,624,,,,,,,,,,,,,,,150,,, 1118.06,DC, 13295.89, 1329.59
491,2016-05-14,7548,Liz,12/15/14,Cheung,09/04/2014,Ilsen,165,7248.5,204,1360,300,,495,,4276,,,7083,,1394.25,,,2007.0,,,,,,,,,,,,,150,,, 170,VA, 23810.75, 1974.99
492,2016-05-21,10793,Liz,12/15/15,Cheung,07/22/2015,Bleda,142,5857.5,317.25,,,,142,,,,,3853.75,,1121.24,102.0,,2007,,,,,,,,,,,,,75.0,,, 2945.11,DC, 13298.74, 1329.88
493,2016-06-02,14300,Liz,05/31/16,Cheung,05/31/2016,HR Certification Institute,60,4584.5,132.0,126.0,,137.5,540.0,,,,,5470.0,,1820.88,102,,2678.5,,,,,,,,,,,,500.0,75,,, 75,VA, 177, 6.12
494,2016-09-04,8136,Liz,04/13/15,Cheung,11/10/2014,Voelker,135,4584.5,132,126,342.5,137.5,540,151.0,,,,5470,,1820.88,,,2678.5,,,,,,,,,,,1464.06,500,150,,, 830.22,VA, 16139.38, 1150.16
495,2016-09-10,10954,Liz,12/21/15,Cheung,08/06/2015,Widmann,151,5297.25,144,108,342.5,145,528.5,151,,,,6582,,1342.39,,,1949.5,,,,,,,,,,,1464.06,,,,, 2017.39,MD, 18054.2, 1264.06
496,2016-10-08,10566,Liz,11/23/15,Cheung,06/23/2015,Bekesha,102,3444.75,,577.5,103,,326.4,,,,,4404,,1719.72,,,2381.2,,,,,,,,,,,,,,,, 405,DC, 12956.57, 1295.66
497,2016-05-03,10986,Liz A,1/19/2016,Lane,8/11/2015,Coordinating Research Council,112.0,3580.0,,672.0,,,308.0,,1344.0,,,2192.0,,1392.75,,,1047.9,,,,,,,,,,,,,,,, 9271.44,VA, 113221.69,  9899.38
498,2016-05-03,10986,Liz A,01/19/16,Lane,08/11/2015,Coordinating Research Council,112,3580,,672,,,308,,1344,,,2192,,1392.75,360.0,,1047.9,,,,,,,,,,,,,150.0,,, 1134.25,VA, 10536.65, 868.36
499,2016-05-06,9763,Liz A,08/10/15,Arline,04/07/2015,Roth,97,2958.5,36.0,100.0,,,333.0,,,,,1462,,900,360,,,,,,,,,,,,,,,150,,,2478.5,MD, 5830.5, 459.17
500,2016-06-03,12413,Liz A,01/27/16,Arline,12/07/2015,Meadows,111,3559,36,100,,,333,,,,,6660,,679.59,,,,,,,,,,,,,,,680.0,100,,, 2478.5,VA, 11621.59, 843.18
501,2016-06-25,10572,Liz A,09/28/15,Arline,06/24/2015,Merrill,171,5472.75,95,,,,598.5,,,,,7668,,1445,,,852.25,,,,,,,,,,,200.0,680,150,,, 3147,VA, 16109.25, 1163.41
502,2016-07-30,11975,Liz A,01/07/16,Arline,10/29/2015,Candy + Co,120,3684.75,,,,,526.5,,,,,3294,,1883.4,,,852.25,,,,,1611.6,,,,,,200,,150,,, 105,MD, 10590.9, 782.91
503,2016-10-01,10883,Liz A,12/15/15,Arline,07/30/2015,Edwards,125,6924.35,,,,,200,,,,,4401,,1800,,,2152.55,,,,,1611.6,,,,,,,,,,, 700,DC, 17089.5, 1708.96
504,2016-05-14,10818,Meg,9/25/2015,Burford,7/24/2015,Karson Butler Events,105.0,5374.0,510.0,840.0,,,,,3816.0,523.9,408.0,5636.0,,790.92,,,4724.75,,,,,2768.75,,,,,,,,,,, 7564.75,DC, 71778.39,  5825.99
505,2016-05-14,10818,Meg,09/25/15,Burford,07/24/2015,Karson Butler Events,105,5374,510,840,,,,,3816,523.9,408,5636,,790.92,,,4724.75,,,,,2768.75,,,,,,,,,,, 1868.42,DC, 25392.32, 2539.24
506,2016-08-21,14687,Meg,06/29/16,Burford,06/29/2016,Evening with Our Chef,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7190.2,VA,,
507,2016-10-31,15727,Meg,10/05/16,Burford,10/04/2016,Main Event Caterers,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 845,VA,25392.32,2539.24
508,2015-12-17,12061,Mich,11/16/2015,Cheung,11/5/2015,Ashmore Group,35.0,1382.5,,210.0,,70.0,87.5,,,,,1244.0,,474.95,,,233.0,,,320.0,,,,,,,,,,,,, 9903.62,MD, 25392.32,  2539.24
509,2015-12-17,12061,Mich,11/16/15,Cheung,11/05/2015,Ashmore Group,35,1382.5,,210,,70,87.5,,,,,1244,,474.95,,,233,,,320,,,,,,,,,,150.0,,, 150,MD, 4021.95, 311.32
510,2015-12-19,11094,Mich,11/03/15,Salazar,08/20/2015,Mellinger,59,2592,,534,,87.5,376,,,,,2823,,1309.18,,,1388,,,,,,,,,,,,1100.0,150,,, 765.4,VA, 9172.18, 681.41
511,2015-12-19,12006,Mich,11/02/15,Cheung,11/02/2015,Kestler Financial Group,35,1477,,280,,87.5,122.5,,,,,2170,,755.3,,,,,,,,,,,,,,,1100,150,,,682.35,VA, 6142.3, 372.22
512,2015-12-31,12179,Mich,12/10/15,Gutstein,11/11/2015,Stone Tower Winery,210,8190,,,,262.5,150.0,,1070.0,,,6531,,2818.85,,,1920.0,,,,,175.0,,,,,,172.0,800,150,,, 682.35,VA, 18752.35, 1406.24
513,2016-01-11,12700,Mich,01/06/16,Gutstein,01/05/2016,Politico,75,500,,240.0,,100.0,150,,1070,,,1380,,724.25,,,1920,,,,,175,,,,,,172,,150,,, 175,DC, 6241.25, 606.93
514,2016-01-21,12473,Mich,01/11/16,Gutstein,12/11/2015,Carnegie Institution for Science,40,1400,167.0,240,,100,230,,360,,,1608,,672,,,,,,,,,,,,,,,,150,,, 305,DC, 4760,907.86
515,2016-01-30,12315,Mich,12/08/15,Cheung,11/24/2015,ASI Government,148,5291,167,740,,170,333,,2857.0,,,2934,,1028.6,200.0,,,,,,,,,,,,,,,150,,, 1728.6,MD, 10813.6, 907.86
516,2016-02-01,12897,Mich,01/27/16,Gutstein,01/22/2016,Politico,150,3400,,800,,,450,,2857,,,2570,,1849.6,200,,,,,,,,,,,,,,,150,,, 462.4,VA, 12276.6, 1027.88
517,2016-02-04,12037,Mich,01/27/16,Gutstein,11/03/2015,National Society Daughters of the American Revolution,50,1375,,400,,367.5,480.0,,,,,2034,,,,,1672.0,,,,,,,,,,,,,75,,, 1226.5,DC, 3884,
518,2016-02-07,12512,Mich,12/31/15,Cheung,12/15/2015,St. John's Episcopol Church  Lafayette Square,140,3795,72.0,640,,367.5,480,,,,,1830,,2203.81,,,1672,,,,,,,,,,,,,150.0,,, 2358,DC, 8784.5,1795.56
519,2016-02-20,9268,Mich,04/02/15,Cheung,02/27/2015,Fuller,122,4355.75,72,732,,,488,,,,,7196,,2203.81,,,2758,,,,,,,,,,,,,150,,, 1343.95,DC, 17955.56, 1795.56
520,2016-03-06,13196,Mich,02/22/16,Gutstein,02/17/2016,Peterson,25,775,40.0,708.5,,,324.0,,,,,854,,348,,,579.86,,,,,,,,,,,,,150,,,1051.64,VA, 2127, 149.62
521,2016-04-02,12038,Mich,03/01/16,Arline,11/03/2015,Sternberg,63,2579.25,40,708.5,,,324,,,,,4070,,853.04,,,579.86,,,,,,,,,,,,,150,,, 1051.64,MD, 9304.65, 695.35
522,2016-04-02,12047,Mich,01/20/16,Porter,11/04/2015,Community Coalition for Haiti,344,12384,96,2752,,,1376,,,,,10302,,3661.24,,,8821.6,,,,,,,,,,,,,150,,, 1937.76,VA, 39542.84, 3027.89
523,2016-04-02,9952,Mich,07/01/15,Cheung,04/22/2015,Bliss Weddings & Events,207,10093.05,725,1242,,150.0,828,120.0,1741.0,,,9744,,3141,,,5425.34,,,,,,,,,,,,,150,,, 1487.52,DC, 31348.39, 3134.84
524,2016-04-03,10750,Mich,01/05/16,Gutstein,07/17/2015,Rubalcava,60,1901,150,,,150,240,120,1741,,,3352,,859.4,,,806.0,,,,,,,,,,,,1150.0,150,,, 467.16,DC, 8663.4, 866.34
525,2016-04-09,12557,Mich,01/07/16,Cheung,12/18/2015,Black,130,8053.5,150,300.0,,,520,,1942,,,4440.75,,2944.5,,,806,,,,,,,,,,,,1150,150,,, 2701,VA, 20156.75, 1558.03
526,2016-04-10,10981,Mich,10/21/15,Cheung,08/10/2015,Goldberg,100,4049.75,257.5,300,,,400,,,,,5038,,1055.31,200.0,,3398.5,,,,,,,,,,,,,150,,, 607.69,DC, 14649.06, 1464.91
527,2016-05-04,13920,Mich,04/26/16,Gutstein,04/22/2016,Jones,45,1575,1718.0,270,,468.75,135,,11392.0,,,1158,,783.9,200,,9636.0,,,,,,,2384.0,5754.0,,,,,150,,,6070.99,VA, 4271.9, 326.51
528,2016-05-05,12105,Mich,01/29/16,Gutstein,11/06/2015,Invent Now,440,20835,1718,2625,,468.75,880,,11392,,,18594,,10288.96,,,9636,,,,,,,2384,5754,,,,,150,,, 6070.99,DC, 85933.62, 8354.97
529,2016-05-07,12480,Mich,12/14/15,Gutstein,12/11/2015,INOVA,940,8115,,,,937.5,3000,,15159.9,,,22997,,5700,,,,,,,,,,,,,,,,300,,, 5112.5,VA, 56209.4, 4443.06
530,2016-05-09,13979,Mich,05/02/16,Gutstein,04/28/2016,The National Society of the Colonial Dames of America,55,1163,,,,,150.0,,1070.0,,,1608.0,,724.25,,,1920.0,,,,,175.0,,,,,,172.0,,75,,,175.0,DC, 1238,629.73
531,2016-05-10,13953,Mich,05/02/16,Arline,04/26/2016,Politico,75,500,550.0,1000.0,387.5,,150,,1070,500.0,,1608,,724.25,,,1920,,,1340.0,,175,,8330.16,,,,172,,150,,, 175,DC, 6469.25, 629.73
532,2016-05-11,12599,Mich,04/19/16,Arline,12/23/2015,Urban Institute,110,5828,550,1000,387.5,80.0,500,,1320,500,,3621,,1786,,,1726.75,,,1340,,2088,,8330.16,,,,,,300,,, 1001,DC, 29277.41,
533,2016-05-12,14020,Mich,05/04/16,Gutstein,05/04/2016,Urban Institute,30,1670,,160,,80,60,,1440.0,,,1246,,610.24,,,1277.8,,,,,,,,,,,,,150,,, 336.56,DC, 3976.24,918.08
534,2016-05-12,13863,Mich,05/02/16,Gutstein,04/18/2016,Groom Law Group,90,2902.5,279.0,337.5,,,270,,1440,,,1826,,977.04,,,1277.8,,,,,,,,,,,,,150,,, 244.26,DC, 9180.84, 918.08
535,2016-05-13,9455,Mich,09/22/15,Cheung,03/16/2015,Schultz,144,5175,279,286.0,,,576,,,,,6563,,2571.84,,,5037,,,,,,,,,,,,600.0,150,,, 504,DC, 20351.84, 2035.18
536,2016-05-14,8400,Mich,05/21/15,Gutstein,12/08/2014,Weidenbenner,117,4115,79.75,286,35.0,,468,,,,,5326,,1380.84,,,4857.81,,,,,,,,,,,,600,150,,, 1013.28,DC, 17183.65, 1658.36
537,2016-05-21,12230,Mich,02/09/16,Arline,11/16/2015,Rea,138,6829.5,79.75,1018,35,,552,,,,,5554,,2254.62,,,2859,,,,,,,,,,,,1300,150,,, 717.06,DC, 20631.87, 1933.19
538,2016-05-26,14250,Mich,05/24/16,Keene,05/24/2016,Groom Law Group,50,756,,,768.0,,512.0,,,,,4740.0,,2312.96,,,1497.0,,,,,,,,,,,,,35,,,300.0,DC, 791, 79.1
539,2016-05-28,11186,Mich,11/02/15,Porter,08/31/2015,Monroe,125,4768,121.0,,768,,512,,,,,4740,,2312.96,,,1497,,,,,,,,,,,,1500.0,150,,, 300,MD, 14747.96, 1117.8
540,2016-06-04,13163,Mich,04/07/16,Cheung,02/15/2016,Blyskun,121,4673,121,,726,,121,,,,,5346,,2211.88,,,2189,,,,,,,,,,163.02,,1500,150,,, 302.5,DC, 17037.88, 1553.79
541,2016-06-11,11009,Mich,10/12/15,Porter,08/12/2015,Moreno,89,4280.25,147.0,822.0,,,356,,,,,4388,,1760.42,,,2363.5,2155.0,,,,,,,,,163.02,,,150,,, 250,VA, 13461.19, 974.35
542,2016-06-11,10645,Mich,10/12/15,Cheung,07/07/2015,Thomas,137,5475.5,147,822,,,616.5,,,,,5550,,2325.44,,,3341.5,2155,,,,,,,,,305.46,,,150,,, 600.88,DC, 20888.4, 2058.29
543,2016-06-15,14491,Mich,06/13/16,Gutstein,06/13/2016,Peterson,1,2340.0,,480.0,,,320.0,,855.0,,,1634.0,,1085.6,,,2414.75,,,225.0,,,,,,,,,,150.0,,,125.0,VA, 2414.75, 144.89
544,2016-06-17,14401,Mich,06/08/16,Gutstein,06/07/2016,Peterson,80,2340,135.75,480,,187.5,320,,855,,,1634,,1085.6,,,120,,,225,,,,,,,,,,150,,, 125,VA, 7209.6, 583.38
545,2016-06-18,10407,Mich,07/28/15,Cheung,06/04/2015,Wickwar,75,3360.5,135.75,562.5,200.0,187.5,375,,,,,4190,,1618.5,,,1319.75,,,,,,,,,,,,,150,,, 150,VA, 11899.5, 889.83
546,2016-06-18,13088,Mich,02/22/16,Arline,02/08/2016,Daniel,54,1802.75,179.68,5850.0,200,,250,,10300.0,,,2098,,1003.5,,,808.6,,,,,7342.0,,3195.75,,,,,,150,,, 100,MD, 6492.53, 477.86
547,2016-06-20,12194,Mich,02/10/16,Gutstein,11/12/2015,HR Certification Institute,975,40900,,5850,600,,1950,,10300,,,14846.5,,15368.7,,,4054,,,,,7342,,3195.75,,,,,,300,,, 8355.05,DC, 117426.95, 11423.12
548,2016-06-22,14481,Mich,06/14/16,Gutstein,06/10/2016,McGuire Woods,50,1725,,300,,,,,,,,896,,490,,,,,,,,,,,,,,,,150,,,30.0,VA, 3561, 285.66
549,2016-06-23,14612,Mich,06/22/16,Gutstein,06/22/2016,Fishman-employee,35,30,,126.0,,,54.0,,252.0,,,990.0,,334.26,,,212.4,,,425.0,,,,,,,,,,150.0,,, 30,VA, 30, 3
550,2016-06-23,14281,Mich,06/15/16,Gutstein,05/26/2016,The Peterson Companies,18,810,,126,,,54,,252,,,990,,334.26,,,212.4,,,425,,,,,,,,,,150,,, 37.5,MD, 3353.66, 241.9
551,2016-06-25,13337,Mich,04/19/16,Arline,02/29/2016,Gordon,90,2835,,720,,,360,,,,,3698,,1242.75,,,1400.85,,,,,,,,,,,,,150,,, 162.5,MD, 10406.6, 772
552,2016-06-25,8766,Mich,03/31/15,Cheung,01/20/2015,Carone,101,4071,,323,,,404,,,,,5068,,1763.46,,,1794.1,,,,,,,,,,,,,150,,, 1815,DC, 13573.56, 1357.36
553,2016-07-01,14664,Mich,06/28/16,Gutstein,06/27/2016,Tynan,25,1323,421.25,,,,1167.75,,,,,546,,366.25,,,3814.5,,,,,,,,,,,,,150,,, 75,MD, 2385.25, 187.04
554,2016-07-03,11102,Mich,11/23/15,Cheung,08/21/2015,Vaporis,294,11542.75,421.25,,,,1167.75,,,,,13316,,3717.63,,,3814.5,,,,,,,,,,,,,,,, 4263.46,DC, 33979.88, 3398
555,2016-07-07,13228,Mich,02/23/16,Cheung,02/18/2016,Main Event Caterers,200,6380.5,145.25,,,,432.5,,,,,8528.0,,2626.32,,,4058.0,,,,,,,,,,,,2000.0,150.0,,, 9520,DC,24320.57,2232.06
556,2016-07-08,12556,Mich,02/22/16,Cheung,12/18/2015,Armstrong,173,6380.5,145.25,,,100.0,432.5,,,,,8528,,2626.32,,,4058,,,,,,,,,,,,2000,150,,, 805.46,DC, 24320.57, 2232.06
557,2016-07-09,13166,Mich,06/24/16,Gutstein,02/15/2016,Baker Botts L.L.P,80,1680,,156.0,708.0,100,320,,,,,1150,,808,,,569.25,,,,,,,,,,,,,150,,,407.5,DC, 5027.25, 502.73
558,2016-07-09,11679,Mich,01/11/16,Arline,10/07/2015,Liow,114,4517,,156,708,60.5,324.5,,,,,4416,,2041.4,,,2576.25,,,,,,,,,,,,,150,,, 407.5,DC, 15038.15, 1488.92
559,2016-07-14,14320,Mich,07/05/16,Gutstein,05/31/2016,Politico,22,577.5,111.65,,,60.5,66,,,,,742,,306.24,,,,,,,,,,,,,,,,150,,,615.0,VA, 1902.24, 133.29
560,2016-07-16,10296,Mich,08/25/15,Gutstein,05/21/2015,Top Of The Town,112,4140,111.65,,,85,448,,,,,5280,,2092.16,,,3442.4,,,,,,,,,,,,,50.0,,, 615,VA, 12156.81, 920.8
561,2016-07-23,11433,Mich,12/22/15,Gutstein,09/18/2015,Stackhouse,200,6292.5,,385.0,,,191,,1168.0,,,7422,,1625.26,,,3442.4,,,300.0,,,,,,,,,,50,,, 2619.8,DC, 19023.16, 1902.32
562,2016-07-29,14862,Mich,07/22/16,Gutstein,07/18/2016,Mayr,60,2102.5,195.0,385,,,255,,1168,,,1602,,814.2,,,695,,,300,,,,,,,,,480.0,150,,, 97.5,VA, 7471.7, 595.72
563,2016-07-30,9446,Mich,09/08/15,Cheung,03/13/2015,Liadis,185,6505,195,210.0,,,305.25,,,,,6747,,2442.37,909.0,,4013.75,,,,,,,,,,,,480,,,, 2266.48,DC, 20688.37, 2020.85
564,2016-08-05,13035,Mich,03/03/16,Gutstein,02/04/2016,Biechman,141,4923,83.25,210,,,155.75,,,,,5630,,2422.94,909,,341.5,,,,,,,,,,,,500.0,150.0,,, 1196.74,DC, 14675.44, 1467.55
565,2016-08-13,11783,Mich,01/22/16,Arline,10/16/2015,Boswell,125,4307,161.55,558,92.5,,496,,,,,6916,,1723.76,,,1283.25,,,,,,,,,,,,500,150,,, 1293.74,DC, 16095.56, 1559.57
566,2016-08-13,11619,Mich,01/05/16,Arline,10/02/2015,Sawyer,118,4240,55,110,92.5,,472,,500.0,,,5796,,2575.8,,110.0,2687.9,,,,,,,,,,,,,150,,, 661.2,DC, 16179.2, 1617.92
567,2016-08-15,14980,Mich,08/03/16,Gutstein,07/28/2016,Dumbarton Oaks,50,1175,,100,,,112.5,,500,,,1226,,555,,110,,,,,,,,,,,,,,150.0,,, 225,DC, 3778.5,390.6
568,2016-08-18,15087,Mich,08/09/16,Gutstein,08/09/2016,Baker Botts L.L.P,50,1387.5,,100,,,150,,191.88,,,1380,,678.5,712.0,60,1384.5,,,,,,,,,,,,,150,,,1815.96,DC, 3906, 390.6
569,2016-08-20,11551,Mich,12/15/15,Cheung,09/28/2015,Lam,154,4988,60.0,924,65.0,,308,,191.88,,,4714,,2287.82,712,,1384.5,,,,,,,,,,,,,150.0,,, 1815.96,VA, 15510.2, 1187.09
570,2016-08-20,11466,Mich,12/22/15,Arline,09/22/2015,Logan,182,8643.15,60,508,65,,43,,,,,5058,,2683.36,,,2828.7,,,,,,,,,,,,,150,,, 913.04,DC, 20039.21, 2003.93
571,2016-08-20,10568,Mich,08/14/15,Cheung,06/23/2015,Flournoy,133,4355.75,101.5,100.0,,,532,,,,,4309,,2469.81,,60.0,1831.38,,,,,,,,,,,,,150,,, 598.5,MD, 13749.44, 1015.54
572,2016-08-24,15021,Mich,08/09/16,Gutstein,08/03/2016,Baker Botts L.L.P,50,1375,,100,,,150,,,,,1380,,678.5,,60,,,,,,,,,,,,,,150,,,,DC, 3893.5, 389.35
573,2016-08-24,15251,Mich,08/23/16,Gutstein,08/23/2016,Meladon Management Partners,80,1200,,204.0,,,240,,,,,1266,,623.2,,,,,,,,,,,,,,,,150,,,24.0,VA, 3479.2, 257.35
574,2016-08-27,15227,Mich,08/22/16,Gutstein,08/22/2016,Krimminger,24,948,140.0,204,,,126.0,252.0,,,,1302,,232.8,,,1559.5,,,,,,,,,,,631.4,,150,,, 24,MD, 2836.8, 207.29
575,2016-08-27,12579,Mich,02/08/16,Cheung,12/22/2015,Elegba,126,5292,140,504,,,126,252,,,,5850,,2690.21,,50.0,1559.5,,,,,,,,,,,631.4,,150,,, 722.39,DC, 17195.11, 1656.37
576,2016-08-27,12263,Mich,02/08/16,Arline,11/18/2015,Marcus,106,3662.25,219.75,636,,,424,,,,,5215,,1696,,50,4020.6,,,,,,,,,,,,,150,,, 250,DC, 16073.6, 1607.37
