"Revenue Details By Event"
"Main Event Caterers"
"Event Date Range: 2/11/2017 through 4/12/2017"
"Event Status: Definite, Tentative"
"Business Unit: all"


"BU","Event Type","Event Theme","Customer","Customer ID ","Billing Customer","Event Date","G/C","Event#","AE","Location Name","Food","Food Discount","Coffee Service","Coffee Service Discount","Soft Beverages","Soft Beverages Discount","Alcoholic Beverages","Alcoholic Beverages Discount","Event Personnel","Event Personnel Discount","Equipment","Equipment Discount","Delivery","Delivery Discount","Florals - In House","Florals - In House Discount","Florals - Outside","Florals - Outside Discount","Lighting","Lighting Discount","Entertainment","Entertainment Discount","Valet","Valet Discount","Tenting","Tenting Discount","Other Vendors","Other Vendors Discount","Venue Rental","Venue Rental Discount","Miscellaneous Income","Miscellaneous Income Discount","Gratuity","Gratuity Discount","Credit Card Processing Fee","Credit Card Processing Fee Discount","Venue Fee","Venue Fee Discount","Outside Rentals","Outside Rentals Discount","Promotional","Promotional Discount",Tax,Event Total
"Main Event","All Day","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","3/3/2017","50","17444A","Tracy","",2637.50,-0,300,-0,450,-0,,,0,-0,375,-0,100,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3862.5",
"Main Event","Lunch Cold","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","3/3/2017","50","17444B","Tracy","",0,-0,,,0,-0,,,0,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
"Main Event","Buffet","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","3/3/2017","50","17444C","Tracy","",0,-0,,,0,-0,,,0,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
"Main Event","All Day","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","3/3/2017","100","17774 SUP","Tracy","",,,,,,,,,0,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
"Main Event","All Day","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","3/4/2017","100","17447A","Tracy","",4855,-0,517.50,-0,637.50,-0,,,3766,-0,904.20,-0,150,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,6530.84,-0,,,"0","17361.04",
"Main Event","All Day","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","3/4/2017","115","17447B","Tracy","",0,-0,,,0,-0,,,0,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
"Main Event","HHD Fork Only","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","3/4/2017","115","17449","Tracy","",3191.25,-0,115,-0,345,-0,908.40,-0,1408,-0,1500.73,-0,100,-0,,,100,-0,,,,,,,,,,,,,,,,,,,,,,,,,"0","7668.38",
"Main Event","Hot Drop Off","Social","L'Enfant Cafe","10057","L'Enfant Cafe","3/4/2017","140","16629","Spenc","Wundergarten",3360,-0,,,,,,,450,-0,243.21,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","4053.21",
"Main Event","HHD Fork Only","Social","Wolters Klumer","11147","Wolters Klumer","3/4/2017","25","17372","Elyse","Private Home",1058.75,-0,50,-0,75,-0,,,800.50,-0,246.31,-0,100,-0,,,,,,,,,,,,,,,,,,,150,-0,60.74,-0,,,,,,,"184.19","2725.49",
"Main Event","Buffet","Wedding Reception","Yoon","10934","Yoon","3/4/2017","166","16751","Spenc","Stone Tower Winery - Vineyard View Ballroom",9308,-0,,,885,-0,,,7851.50,-0,4100.80,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1736.44","24031.74",
"Main Event","Buffet","Corporate","L'Enfant Cafe","10057","L'Enfant Cafe","3/5/2017","135","16706","Spenc","Capitale - La Boum",3240,-0,,,,,,,450,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3690",
"Main Event","Staff Only","Corporate","Crowne Plaza Dulles Airport","11262","Crowne Plaza Dulles Airport","3/7/2017","100","17871","Elyse","Crowne Plaza Hotel Dulles",,,,,,,,,630,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.8","667.8",
"Main Event","Stationary HD","Corporate","Federation of State Humanities Council","10568","Federation of State Humanities Council","3/7/2017","120","15630","Spenc","Top of the Hill - Reserve Officers Association",2730,-0,,,240,-0,1004,-0,1822,-0,1392,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"733.8","8071.8",
"Main Event","Buffet","Corporate","Georgetown University School of Continuing Studies","7760","Georgetown University School of Continuing Studies","3/7/2017","100","17752","Tracy","C1 Reception Area",2025,-0,,,300,-0,,,1611,-0,899.25,-0,100,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","4935.25",
"Main Event","Single Plated","Corporate","Maverick Collective","11130","Maverick Collective","3/7/2017","35","17314","Spenc","Fathom Creative",1508,-0,0,-0,131.25,-0,,,1876,-0,835.80,-0,150,-0,,,,,,,,,,,,,,,,,,,,,38.41,-0,,,,,,,"450.11","4989.57",
"Main Event","Breakfast","Corporate","Penn Wharton Public Policy Initiative","11179","Penn Wharton Public Policy Initiative","3/7/2017","100","17463","Spenc","Top of the Hill - Reserve Officers Association",1600,-0,200,-0,300,-0,,,1712.50,-0,945,-0,150,-0,,,,,,,,,,,,,,,,,,,,,123.94,-0,150,-0,,,,,"0","5181.44",
"Main Event","Breakfast","Corporate","Politico","5823","Politico","3/7/2017","75","17535","Mich","District Architecture Center",1050,-0,187.50,-0,0,-0,,,1064.50,-0,947.50,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,123.75,-0,,,,,"339.95","3863.2",
"Main Event","Stations","Corporate","AOPA","10935","AOPA","3/8/2017","180","16753","Courtney","Ronald Reagan Washington National Airport",8800,-0,250,-0,400,-0,3600,-0,5787.50,-0,4581.50,-0,150,-0,720,-0,,,,,,,,,,,,,,,,,,,194.71,-0,,,2890,-0,,,"2143.74","29517.45",
"Main Event","Staff Only","Corporate","Crowne Plaza Dulles Airport","11262","Crowne Plaza Dulles Airport","3/8/2017","100","17871 B","Elyse","Crowne Plaza Hotel Dulles",,,,,,,,,227.50,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.65","241.15",
"Main Event","Stationary HD","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","3/8/2017","150","17489","Tracy","Gewirz Building 12th floor",4350,-0,,,460,-0,838.45,-0,2144,-0,1931.62,-0,150,-0,,,493.75,-0,,,,,,,,,,,,,,,,,,,,,614.90,-0,,,"0","10982.72",
"Main Event","Single Plated","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","3/8/2017","20","17490","Tracy","MCdonough Building",1015,-0,40,-0,10,-0,164,-0,1255,-0,513.20,-0,150,-0,,,531.25,-0,0,-0,,,,,,,,,,,,,,,,,,,592,-0,,,"0","4270.45",
"Main Event","Buffet","Corporate","Georgetown University School of Continuing Studies","7760","Georgetown University School of Continuing Studies","3/8/2017","130","17753","Tracy","Atrium Level",1950,-0,,,260,-0,,,2068,-0,910,-0,100,-0,,,,,,,,,,,,,,,,,,,,,,,,,915,-0,,,"0","6203",
"Main Event","Reception Cold","Corporate","Georgetown University School of Continuing Studies","7760","Georgetown University School of Continuing Studies","3/8/2017","25","17781","Tracy","Overlook",375,-0,,,62.50,-0,,,340,-0,251.62,-0,75,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1104.12",
"Main Event","Single Plated","Corporate","Wesley Scott","10032","Wesley Scott","3/8/2017","20","17256","Sam","220 E St., NE",1054,-0,,,55,-0,,,679.50,-0,60,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"199.85","2198.35",
"Main Event","Staff Only","Corporate","Crowne Plaza Dulles Airport","11262","Crowne Plaza Dulles Airport","3/9/2017","100","17871  C","Elyse","Crowne Plaza Hotel Dulles",,,,,,,,,227.50,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.65","241.15",
"Main Event","Stationary HD","Corporate","Georgetown University School of Continuing Studies","7760","Georgetown University School of Continuing Studies","3/9/2017","120","17780","Tracy","Georgetown University School of Continuing Studies",2430,-0,,,360,-0,,,1611,-0,996.30,-0,100,-0,,,,,,,,,,,,,,,,,,,,,,,,,0,-0,,,"0","5497.3",
"Main Event","All Day","Corporate","Intelsat","6455","Intelsat","3/9/2017","25","17440","Spenc","Intelsat",837.50,-0,50,-0,100,-0,,,971,-0,247.50,-0,150,-0,,,,,,,,,,,,,,,,,,,,,63.20,-0,,,,,,,"171.86","2591.06",
"Main Event","HHD Fork Only","Corporate","Smithsonian Museum of Natural History","3425","Smithsonian Museum of Natural History","3/9/2017","100","17399","Tracy","National Museum of Natural History",2950,-0,,,150,-0,950,-0,1111,-0,932.75,-0,150,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,75,-0,,,"0","6318.75",
"Main Event","HHD Buffet","Gala/Fundraiser","Browne Academy","10199","Browne Academy","3/11/2017","75","15120A","Courtney","Browne Academy",5381.50,-0,175,-0,589.60,-0,,,6869,-0,3550.27,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,1224,-0,,,"0","17789.37",
"Main Event","Single Plated","Social","tracy","11294","tracy","3/11/2017","12","17838","Tracy","Sharon Sullivan",337.35,-0,12,-0,0,-0,,,0,-0,197.34,-0,75,-0,,,,,,,,,,,,,,,,,,,,,,,,,25,-0,,,"48.28","694.97",
"Main Event","Equipment Only","Drop Off","Mexican Cultural Institute","3858","Mexican Cultural Institute","3/13/2017","110","17835 A","Elyse","Mexican Cultural Institute",,,,,,,,,,,1620,-0,,,,,,,,,,,,,,,,,,,,,,,44.63,-0,,,165,-0,,,"0","1829.63",
"Main Event","Buffet","Corporate","Arlington Economic Development","5850","Arlington Economic Development","3/14/2017","20","17830","Mich","Arlington Economic Development Office",890,-0,40,-0,60,-0,,,1047,-0,795.60,-0,150,-0,,,,,,,,,,,,,,,,,,,,,75.32,-0,,,30,-0,,,"0","3087.92",
"Main Event","All Day","Corporate","Capital Consulting Corporation","11313","Capital Consulting Corporation","3/14/2017","100","17915","Tracy","Georgetown University - Hariri Building",,,,,,,,,795,-0,765,-0,150,-0,,,,,,,,,,,,,,,,,,,,,86.15,-0,,,1422.60,-0,,,"313.26","3532.01",
"Main Event","All Day","Corporate","Chamber of Digital Commerce","11191","Chamber of Digital Commerce","3/14/2017","100","17708","Tracy","Georgetown University - Hariri Building",,,285,-0,0,-0,,,384,-0,181.25,-0,60,-0,,,,,,,,,,,,,,,,,,,,,,,,,98,-0,,,"100.83","1109.08",
"Main Event","All Day","Corporate","Chamber of Digital Commerce","11191","Chamber of Digital Commerce","3/15/2017","200","17719A","Tracy","Georgetown University - Hariri Building",300,-0,700,-0,675,-0,,,2201,-0,1926,-0,150,-0,,,,,,,,,,,,,1202.50,-0,,,,,,,,,,,2980.25,-0,,,"1013.48","11148.23",
"Main Event","Breakfast","Corporate","The Washington Post","8934","The Washington Post","3/15/2017","175","17131","Mich","The Washington Post",2170,-0,390,-0,,,,,847.75,-0,909.25,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"446.71","4913.71",
"Main Event","Buffet","Corporate","West Asia Council","10952","West Asia Council","3/15/2017","300","16794","Mich","National Museum of Women in the Arts",7562.50,-0,250,-0,0,-0,,,5822.50,-0,2569.22,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,2124.50,-0,,,"0","18478.72",
"Main Event","HHD Fork Only","Corporate","CARE USA","10691","CARE USA","3/16/2017","250","15978","Spenc","Top of the Hill - Reserve Officers Association",3097.50,-0,295,-0,1150,-0,1003,-0,3779,-0,2005.16,-0,150,-0,,,,,,,,,,,,,,,,,,,440,-0,,,600,-0,,,,,"1147.97","13667.63",
"Main Event","All Day","Corporate","Chamber of Digital Commerce","11191","Chamber of Digital Commerce","3/16/2017","350","17721A","Tracy","Georgetown University - Hariri Building",7350,-0,1725,-0,1225,-0,,,2555,-0,3098.25,-0,150,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,150,-0,,,"1625.33","17878.58",
"Main Event","Stationary HD","Corporate","Chamber of Digital Commerce","11191","Chamber of Digital Commerce","3/16/2017","100","17724","Tracy","Georgetown University - Hariri Building",4400,-0,,,675,-0,0,-0,3888,-0,3250.50,-0,150,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,"1236.35","13599.85",
"Main Event","Single Plated","Corporate","Girls, Inc.","10680","Girls, Inc.","3/16/2017","150","15964","Mich","National Museum of Women in the Arts",6225,-0,300,-0,637.50,-0,,,5039.50,-0,2523.37,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,3523.50,-0,,,"0","18248.87",
"Main Event","HHD Finger Food","Corporate","Troutman Sanders","10801","Troutman Sanders","3/16/2017","45","17140","Sam","Your Offices!",1183.50,-0,,,157.50,-0,,,1356,-0,851.40,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"266.54","3964.94",
"Main Event","Buffet","Mitzvah's","Berger","10845","Berger","3/18/2017","92","16437","Mich","Temple Rodef Shalom",4678.99,-0,208,-0,333.75,-0,,,3166,-0,1725.71,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,2042.50,-0,,,"938.13","13243.08",
"Main Event","Buffet","Wedding Reception","Branch","10484","Branch","3/18/2017","160","15421","Courtney","Stone Tower Winery - Vineyard View Ballroom",7367.75,-0,312.50,-0,160,-0,,,6310,-0,2483.74,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1311.65","18095.64",
"Main Event","Stations","Gala/Fundraiser","Field School","4154","Field School","3/18/2017","250","17607","Elyse","Field School",14500,-0,150,-0,,,,,6084,-0,0,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","20884",
"Main Event","Pre-Selected Plated","Wedding Reception","Grant","9882","Grant","3/18/2017","105","13623","Spenc","Meridian House",5169.50,-0,262.50,-0,630,-0,,,4798,-0,1992.90,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,1284,-0,0,-0,"1428.69","15715.59",
"Main Event","HHD Finger Food","Social","Husbands","11170","Husbands","3/18/2017","60","17436","Spenc","Private Residence",1305,-0,,,,,,,585.71,-0,0,-0,30,-0,,,,,,,,,,,,,,,,,,,,,52.16,-0,,,,,,,"165.64","2138.51",
"Main Event","Passed HD","Social","University of Michigan Department of Cardiology","10944","University of Michigan Department of Cardiology","3/18/2017","40","16778","Mich","City View Room",1140,-0,,,120,-0,640,-0,1257,-0,704,-0,150,-0,,,,,,,,,,,,,,,,,,,,,100.28,-0,,,,,,,"0","4111.28",
"Main Event","Stationary HD","Corporate","Sasakawa Peace Foundation","11314","Sasakawa Peace Foundation","3/21/2017","125","17928","Spenc","Top of the Hill - Reserve Officers Association",5125,-0,,,312.50,-0,2250,-0,1697,-0,1213,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,350,-0,,,,,"0","11097.5",
"Main Event","HHD Finger Food","Corporate","The Normandy Group","11215","The Normandy Group","3/21/2017","100","17576","Spenc","US Botanic Gardens",2850,-0,,,300,-0,900,-0,2049,-0,1440,-0,150,-0,,,,,,,,,,,,,,,,,,,,,239.20,-0,,,1009,-0,,,"869.8","9807",
"Main Event","Dual Plated","Corporate","CFA Society of Washington DC","4329","CFA Society of Washington DC","3/22/2017","400","16533","Courtney","Mellon Auditorium",18000,-0,0,-0,1600,-0,6800,-0,15811,-0,5715.20,-0,150,-0,4280,-0,,,,,,,,,,,,,,,,,,,,,,,6302,-0,,,"5865.82","64524.02",
"Main Event","Buffet","Wedding Reception","Deloitte Consulting","4909","Deloitte Consulting","3/22/2017","25","17834","Spenc","Private Residence",1062.50,-0,0,-0,50,-0,,,993,-0,604.75,-0,150,-0,,,,,,,,,,,,,,,,,,,,,76.68,-0,,,,,,,"207.12","3144.05",
"Main Event","Breakfast","Corporate","Lockheed Martin","4125","Lockheed Martin","3/22/2017","150","16846","Courtney","Lockheed Martin Multi Purpose Area",5475,-0,0,-0,450,-0,,,2367,-0,1422.52,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"819.87","10684.39",
"Main Event","HHD Finger Food","Corporate","Lockheed Martin","4125","Lockheed Martin","3/22/2017","140","16847","Courtney","Lockheed Martin Fighter Demo Center",7540,-0,,,420,-0,1260,-0,2273,-0,1744.40,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1163.04","14550.44",
"Main Event","Single Plated","Corporate","International Spy Museum","6637","International Spy Museum","3/23/2017","60","17337","Sam","Spy Museum",3993.75,-0,0,-0,300,-0,1650,-0,2607,-0,937.65,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","9638.4",
"Main Event","Buffet","Wedding Reception","Bayliss","10178","Bayliss","3/25/2017","70","14476","Courtney","Top of the Town",3080,-0,175,-0,280,-0,,,3576,-0,1689.10,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,961,-0,0,-0,"727.07","10638.17",
"Main Event","Buffet","Social","Croft","11127","Croft","3/25/2017","25","17301","Elyse","Your Residence",817.50,-0,60,-0,,,,,1303.75,-0,639.50,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"297.08","3267.83",
"Main Event","Pre-Selected Plated","Wedding Reception","Garbe","10223","Garbe","3/25/2017","86","14631","Spenc","Meridian House",5342,-0,,,600,-0,,,4846,-0,2068,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,1337,-0,,,"1434.3","15777.3",
"Main Event","HHD Fork Only","Wedding Reception","Hoobler","10867","Hoobler","3/25/2017","135","16512","Courtney","Josephine Butler Parks Center",4440,-0,134,-0,,,,,3905.50,-0,738.20,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"936.77","10304.47",
"Main Event","Pre-Selected Plated","Wedding Reception","Hoang","10029","Hoang","3/26/2017","255","14023","Spenc","Morais Vineyards",10379.50,-0,,,1050,-0,,,11311,-0,3782.40,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2048.55","28721.45",
"Main Event","Buffet","Social","Jenkins","11045","Jenkins","3/26/2017","20","17054","Courtney","Franciscan Monastery - St. Francis Hall",630,-0,40,-0,80,-0,20,-0,1123,-0,647.89,-0,150,-0,,,,,,,,,,,,,,,,,,,,,37,-0,,,,,,,"269.09","2996.98",
"Main Event","HHD Finger Food","Corporate","Beam Suntory","9659","Beam Suntory","3/30/2017","20","17773","Sam","American Stillhouse",500,-0,,,60,-0,,,697.50,-0,238,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164.55","1810.05",
"Main Event","Pre-Selected Plated","Gala/Fundraiser","Lorton Community Action Center","6686","Lorton Community Action Center","4/1/2017","230","16767","Sam","Harbour View",10350,-0,0,-0,230,-0,,,9707.50,-0,3012.15,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","23449.65",
"Main Event","Pre-Selected Plated","Mitzvah's","Marchick","10706","Marchick","4/1/2017","150","16006","Mich","Decatur House",9656.25,-0,0,-0,900,-0,,,6465,-0,2227.50,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1939.88","21338.63",
"Main Event","Pre-Selected Plated","Wedding Reception","Steffenson","10263","Steffenson","4/1/2017","130","14766","Spenc","Meridian House",4912.50,-0,,,600,-0,,,5956,-0,2712,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,1332,-0,,,"1566.25","17228.75",
"Main Event","Buffet","Wedding Reception","Srivastava","11077","Srivastava","4/2/2017","135","17161","Courtney","Osprey's Landing:  Golf Club at Belmont Bay",4500,-0,250,-0,500,-0,,,4029,-0,2923,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"942.12","13294.12",
"Main Event","HHD Finger Food","Corporate","Cornell University","10956","Cornell University","4/4/2017","300","16800","Mich","Carnegie Institute",7700,-0,,,300,-0,1800,-0,4003.25,-0,2160,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","15963.25",
"Main Event","HHD Finger Food","Corporate","General Dynamics","9934","General Dynamics","4/5/2017","75","17570","Sam","General Dynamics",2512.50,-0,,,225,-0,750,-0,2793,-0,1636.50,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"806.7","8873.7",
"Main Event","Single Plated","Corporate","International Spy Museum","6637","International Spy Museum","4/6/2017","75","16950","Sam","Spy Museum",750,-0,,,150,-0,525,-0,838,-0,870,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,142.50,-0,,,,,"0","3425.5",
"Main Event","Breakfast","Corporate","A-SPAN","9673","A-SPAN","4/7/2017","300","16886","Sam","NRECA",2100,-0,1050,-0,,,,,1910,-0,597.30,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,466,-0,,,"493.4","6766.7",
"Main Event","Lunch Hot","Corporate","Medstar Georgetown University Hospital","10500","Medstar Georgetown University Hospital","4/7/2017","339","17578","Tracy","Tent off the CCC 2nd Floor",0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
"Main Event","Stations","Wedding Reception","Sehler","10294","Sehler","4/8/2017","130","14840","Elyse","Hendry House at Fort CF Smith",4442.50,-0,0,-0,520,-0,,,4354,-0,1677,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,1639,-0,,,"956.45","13738.95",
"Main Event","Buffet","Corporate","ADESA Washington, D.C.","11186","ADESA Washington, D.C.","4/11/2017","40","17496","Spenc","Cherry Blossom",3040,-0,,,100,-0,,,2159,-0,447.60,-0,150,-0,225,-0,,,,,,,,,,,,,,,,,,,71.94,-0,932.08,-0,1938.50,-0,,,"600.21","9664.33",
,,,,,,Subtotals,15054,,,,387535.84,-0,9760,-0,30412.1,-0,40215,-0,280775.21,-0,137867.91,-0,12205,-0,9938.75,-0,3232,-0,15060.4,-0,,,,,,,3752.5,-0,,,,,590,-0,1734.26,-0,2873.98,-0,64218.78,-0,0,-0,"51839.7","1052011.43",

"District Crust","Lunch Cold","","Baker Botts L.L.P","1903","Baker Botts L.L.P","2/13/2017","35","17472","MM","Baker Botts L.L.P",682.50,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71.75","789.25",
"District Crust","Lunch Cold","","ManTech International Corporation","11153","ManTech International Corporation","2/13/2017","15","17392","Elyse","ManTech International Corporation",376.65,-0,,,60,-0,,,,,30,-0,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.47","537.12",
"District Crust","Lunch Cold","","APCO Worldwide","8869","APCO Worldwide","2/14/2017","13","17492","Sarah","APCO Worldwide",195,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23","253",
"District Crust","Lunch Cold","","Dr. Patrick Correnty","9515","Dr. Patrick Correnty","2/14/2017","10","17504","MM","Dr. Patrick Correnty",174,-0,,,,,,,,,,,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.4","216.4",
"District Crust","Lunch Hot","","Goodwin | Procter","7549","Goodwin | Procter","2/14/2017","25","17495","MM","Goodwin | Procter",438.75,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47.38","521.13",
"District Crust","Lunch Hot","","Jenner & Block","2516","Jenner & Block","2/14/2017","35","17507","Sarah","Jenner & Block",893.25,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92.83","1021.08",
"District Crust","Lunch Cold","","Boston Properties","10761","Boston Properties","2/15/2017","11","17527","Sarah","Boston Properties",170.50,-0,,,,,,,,,,,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.55","215.05",
"District Crust","Reception Cold","","EODC","11100","EODC","2/15/2017","50","17231","MM","EODC",2630,-0,,,,,,,,,1043.50,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"325.61","3999.11",
"District Crust","District Crust","Corporate","EODC","11100","EODC","2/15/2017","50","17232","MM","EODC",,,,,,,,,751.50,-0,104,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51.33","1056.83",
"District Crust","Lunch Cold","","Paychex","11202","Paychex","2/15/2017","9","17524","MM","District Crust",147.45,-0,,,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.25","189.7",
"District Crust","Lunch Cold","","Winston & Strawn","3452","Winston & Strawn","2/15/2017","7","17526","MM","Winston & Strawn",105,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14","154",
"District Crust","Lunch Cold","","Goodwin | Procter","7549","Goodwin | Procter","2/16/2017","5","17540","MM","Goodwin | Procter",70,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.5","115.5",
"District Crust","Lunch Cold","","Goodwin | Procter","7549","Goodwin | Procter","2/16/2017","6","17547","MM","Goodwin | Procter",90,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.5","137.5",
"District Crust","Lunch Hot","","Meridian House","5263","Meridian House","2/16/2017","32","17516","Spenc","Meridian House",1041.90,-0,,,,,,,,,,,70,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1111.9",
"District Crust","Reception Cold","","National Archives Records Administration","3648","National Archives Records Administration","2/16/2017","10","17544","MM","National Archives Records Administration",75,-0,,,22.50,-0,,,,,20,-0,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","142.5",
"District Crust","Breakfast Cold","","Paul Weiss","9062","Paul Weiss","2/16/2017","10","17538","Sarah","Paul Weiss",89.50,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.45","136.95",
"District Crust","Lunch Cold","","Freshfields Bruckhaus Deringer LLP","2359","Freshfields Bruckhaus Deringer LLP","2/17/2017","18","17530","MM","Freshfields Bruckhaus Deringer LLP",360,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.5","434.5",
"District Crust","Lunch Cold","","Kilpatrick Townsend & Stockton LLP","5123","Kilpatrick Townsend & Stockton LLP","2/17/2017","35","17521","MM","Kilpatrick Townsend & Stockton LLP",503,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.8","591.8",
"District Crust","Lunch Hot","","Miller & Chevalier","2774","Miller & Chevalier","2/17/2017","30","17549","MM","Miller & Chevalier",499,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.4","587.4",
"District Crust","Breakfast Cold","","National Archives Records Administration","3648","National Archives Records Administration","2/17/2017","10","17545","MM","National Archives Records Administration",307,-0,,,70,-0,,,,,30,-0,25,-0,,,,,,,,,,,,,,,,,,,43.20,-0,,,,,,,,,"0","475.2",
"District Crust","Lunch Cold","","Wolf Trap Foundation for the Performing Arts","3456","Wolf Trap Foundation for the Performing Arts","2/17/2017","20","17551","MM","Bunker Hill Elementary School",285,-0,,,40,-0,,,,,,,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35","385",
"District Crust","Lunch Cold","","Freshfields Bruckhaus Deringer LLP","2359","Freshfields Bruckhaus Deringer LLP","2/19/2017","22","17533","MM","Freshfields Bruckhaus Deringer LLP",351.78,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.7","425.48",
"District Crust","Lunch Cold","","ACOG","8363","ACOG","2/21/2017","20","17609","MM","ACOG",270,-0,,,,,,,,,,,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","295",
