"Revenue Details By Event"
"Main Event Caterers"
"Event Date Range: 2/11/2017 through 4/12/2017"
"Event Status: Definite, Tentative"
"Business Unit: all"


"BU","Event Type","Event Theme","Customer","Customer ID ","Billing Customer","Event Date","G/C","Event#","AE","Location Name","Food","Food Discount","Coffee Service","Coffee Service Discount","Soft Beverages","Soft Beverages Discount","Alcoholic Beverages","Alcoholic Beverages Discount","Event Personnel","Event Personnel Discount","Equipment","Equipment Discount","Delivery","Delivery Discount","Florals - In House","Florals - In House Discount","Florals - Outside","Florals - Outside Discount","Lighting","Lighting Discount","Entertainment","Entertainment Discount","Valet","Valet Discount","Tenting","Tenting Discount","Other Vendors","Other Vendors Discount","Venue Rental","Venue Rental Discount","Miscellaneous Income","Miscellaneous Income Discount","Gratuity","Gratuity Discount","Credit Card Processing Fee","Credit Card Processing Fee Discount","Venue Fee","Venue Fee Discount","Outside Rentals","Outside Rentals Discount","Promotional","Promotional Discount",Tax,Event Total
"District Crust","Lunch Cold","","White & Case LLP","3629","White & Case LLP","3/4/2017","15","17812","Sarah","White & Case LLP",325,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36","396",
"District Crust","Lunch Cold","","Thompson Hine LLP","10723","Thompson Hine LLP","3/6/2017","14","17786","MM","Thompson Hine LLP",196,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.1","254.1",
"District Crust","Breakfast Hot","","Avenue Solutions","11287","Avenue Solutions","3/7/2017","10","17816","Sam","Avenue Solutions",247.50,-0,,,30,-30,,,,,28.50,-0,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.1","331.1",
"District Crust","Lunch Cold","","White & Case LLP","3629","White & Case LLP","3/7/2017","30","17845","Sarah","White & Case LLP",593.75,-0,,,,,,,,,,,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61.88","680.63",
"District Crust","Lunch Cold","","Gibson, Dunn & Crutcher","8428","Gibson, Dunn & Crutcher","3/8/2017","15","17895","MM","Gibson, Dunn & Crutcher",241.50,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.65","304.15",
"District Crust","Lunch Cold","","Baltimore-Washington Conference of the United Methodist Church","11278","Baltimore-Washington Conference of the United Methodist Church","3/9/2017","500","17799","MM","Washington National Cathedral",6500,-0,,,,,,,,,,,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","6525",
"District Crust","Lunch Cold","","CSI Events","4618","CSI Events","3/9/2017","7","17909","MM","Marriott Marquis",108.50,-0,,,,,,,,,,,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.35","146.85",
"District Crust","Reception Cold","","Gibson, Dunn & Crutcher","8428","Gibson, Dunn & Crutcher","3/9/2017","45","17921","MM","Gibson, Dunn & Crutcher",90,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,10,-0,,,,,,,,,"12.5","147.5",
"District Crust","Lunch Cold","","Goldman Sachs","8471","Goldman Sachs","3/9/2017","25","17793","MM","Goldman Sachs",375,-0,,,,,,,,,50,-0,25,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45","495",
"District Crust","Lunch Cold","","Goodwin | Procter","7549","Goodwin | Procter","3/9/2017","5","17908","MM","Goodwin | Procter",70,-0,,,,,,,,,,,35,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.5","115.5",
"District Crust","Lunch Hot","","Meridian House","5263","Meridian House","3/9/2017","35","17827","Spenc","Meridian House",1150.75,-0,,,,,,,,,,,70,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1220.75",
"District Crust","Lunch Cold","","Wendroff & Associates","8396","Wendroff & Associates","3/9/2017","9","17924","Sarah","Wendroff & Associates",151.90,-151.90,,,13.50,-13.50,,,,,,,25,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
"District Crust","HHD Fork Only","Social","Fishman-employee","4233","Fishman-employee","3/11/2017","50","17221","Mich","Fishman-employee",223.50,-0,,,20,-0,,,,,9.38,-0,75,-0,,,,,,,,,,,,,,,,,,,,,,,,,0,-0,,,"24.91","352.79",
,,,,,,Subtotals,2131,,,,34738.48,-507.4,0,-0,992,-43.5,0,-0,751.5,-0,2295.88,-0,2085,-25,0,-0,0,-0,0,-0,,,,,,,0,-0,,,,,161.95,-0,0,-0,0,-0,0,-0,0,-0,"2575.2","43024.11",

"","Staff Only","Corporate","Craft Hospitality","10882","Craft Hospitality","2/25/2017","1000","16569","Courtney","Longview Gallery",,,,,,,,,1123,-0,,,225,-0,,,,,,,,,,,,,,,,,,,,,,,,,1969.30,-0,,,"331.73","3649.03",
"","Buffet","Wedding Reception","Gerald","9954","Gerald","3/31/2017","100","13803","Spenc","Top of the Town",2600,-0,,,,,,,3508,-0,1114.20,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"537.33","7909.53",
"","Buffet","Wedding Reception","Ungchusri","10379","Ungchusri","4/9/2017","145","15090","Elyse","Top of the Town",5795,-0,,,543.75,-0,,,4474,-0,3272.65,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1098.68","15334.08",
,,,,,,Subtotals,1245,,,,8395,-0,0,-0,543.75,-0,0,-0,9105,-0,4386.85,-0,525,-0,0,-0,0,-0,0,-0,,,,,,,0,-0,,,,,0,-0,0,-0,0,-0,1969.3,-0,0,-0,"1967.74","26892.64",

,,,,,,Grand Total,18430,,,,430669.32,-507.4,9760,-0,31947.85,-43.5,40215,-0,290631.71,-0,144550.64,-0,14815,-25,9938.75,-0,3232,-0,15060.4,-0,,,,,,,3752.5,-0,,,,,751.95,-0,1734.26,-0,2873.98,-0,66188.08,-0,0,-0,"56382.64","1121928.18",
